id_equipamento,ibge,uf,cidade,nome,responsavel,telefone,endereco,numero,complemento,referencia,bairro,cep,georef_location,data_atualizacao
33018506481,330185,RJ,Guapimirim,CRAS FAUSTINA DE SOUZA FONSECA,,,Rocha Faria  - 315,315,casa,Enfrente a Pra�a Paulo Terra,Centro,25946079,-22.5287481\,-42.9839504,2023-10-03T04:07:45.679Z
33018703301,330187,RJ,Iguaba Grande,CRAS ADILSON LESSA,,,ESTRADA DA CAPIVARA - 846,846,,,CIDADE NOVA,28960000,-22.83435033933229\,-42.2079223394394,2023-10-03T04:07:45.679Z
33018703429,330187,RJ,Iguaba Grande,CRAS Apolo Belis�rio de Sousa,,,Estrada do Arrast�o s/n� - 0,0,,,Vila Nova,28960000,-22.80197076580693\,-42.2159303782654,2023-10-03T04:07:45.679Z
33019002424,330190,RJ,Itabora�,CRAS - AMPLIA��O,,,Rua Hilda Ara�jo - 0,0,,,Nova Cidade,24804481,-22.75417937667942\,-42.85964012145997,2023-10-03T04:07:49.074Z
33019002426,330190,RJ,Itabora�,CRAS - APOLO,,,ANTONIETA RODRIGUES VIANA - 0,0,LT 19 QD 05,,APOLLO II,24858564,-22.771156151530416\,-42.937359809875495,2023-10-03T04:07:49.074Z
33019002427,330190,RJ,Itabora�,CRAS - RETA,,,Pedro Ferreira Pinto  - 00,00,LT 10 QD 06,,VILA PROGRESSO,24802365,-22.72880921525929\,-42.822003364562995,2023-10-03T04:07:48.071Z
33019002428,330190,RJ,Itabora�,CRAS - VISCONDE,,,DRAUZIO LEMOS - 835,835,,,VISCONDE DE ITABORAI,24875120,-22.7055481\,-42.89238399999999,2023-10-03T04:07:49.074Z
33019006395,330190,RJ,Itabora�,CRAS - ITAMBI,,,Oswaldo Maria - 0,0,Lt 08 Qd 119,,ITAMBI (GRANDE RIO),24866116,-22.729818570573652\,-42.94997692108154,2023-10-03T04:07:49.074Z
33019006400,330190,RJ,Itabora�,CRAS - JARDIM IMPERIAL,,,EURYDICE NASCIMENTO PINHO - 0,0,L 684 Q 29,,JARDIM IMPERIAL,24800345,-22.74208856880018\,-42.8540986776352,2023-10-03T04:07:49.074Z
33019039469,330190,RJ,Itabora�,CRAS - CABU�U,,,VEREADOR ANTONIO CICERO DE SOUZA - 0,0,Lt 12 Qd 01,,CABU�U,24851612,,2023-10-03T04:07:51.662Z
33020001621,330200,RJ,Itagua�,CRAS Calif�rnia,,,Rua Joaquim Nabuco - 21,21,Quadra 112,Quadra municipal
